ǃKung;khi-kun
Mpalitjanh;xpj
Mpi;mpz
Mpiemo;mcx
Mpongmpong;mgg
Mpuono;zmp
Mro Chin;cmr
Mser;kqx
Mt. Iraya Agta;atl
Mt. Iriga Agta;agz
Mubami;tsx
Muda;ymd
Mudbura;mwd
Mudhili Gadaba;gau
Mugom;muk
Mukha-Dora;mmk
Mukulu;moz
Mulaha;mfw
Mullu Kurumba;kpb
Mullukmulluk;mpb
Muluridyi;vmu
Mum;kqa
Mundang;mua
Mundolinco;art-mun
Muniche;myr
Munit;mtc
Murkim;rmh
Murle;mur
Mursi;muz
Musak;mmq
Musan;mmp
Musar;mmi
Musey;mse
Mushungulu;xma
Muskum;mje
Muthuvan;muv
Muya;mvm
Muzi;ymz
Mün Chin;mwq
Mysian;yms
Mzieme Naga;nme
Naasioi;nas
Naba;mne
Nadruvian;ndf
Nafi;srf
Nagarchal;nbg
Nage;nxe
Nagumi;ngv
Nahali;nlx
Nahari;nhh
Nali;nss
Naluo Yi;ylo
Nama;naq
Namat;nkm
Nambo;ncm
Ná-Meo;neo
Namiae;nvm
Namo;mxw
Namonuito;nmt
Nanerigé Sénoufo;sen
Nangikurrunggurr;nam
Napu;npy
Nar Phu;npa
Nara;nrb
Narim;loh
Nasal;nsy
Natagaimas;nts
Natanzi;ntz
Nataoran Amis;ais
Natchez;ncz
Nathembo;nte
Natioro;nti
Nauete;nxa
Nawaru;nwr
Na'vi;art-nav
Nayi;noz
Nayini;nyq
Ndai;gke
Ndaktup;ncp
Nde-Gbite;ned
Ndonde Hamba;njd
Nduga;ndx
Nedebang;nec
Nefamese;nef
Nefusa;jbn
Neku;nek
Neme;nex
Nen;nqn
Nenets;yrk
Neo-Hittite;nei
Nepalese Sign Language;nsp
Nete;net
New Zealand Sign Language;nzs
Newari;new
Neyo;ney
Nga La;hlt
Ngad'a;nxg
Ngadjunmaya;nju
Nganakarti;xnk
Ngangam;gng
Ngantangarra;ntg
Ngardi;rxd
Ngarigu;xni
Ngarinman;nbj
Ngarla;nlr
Ngasa;nsg
Ngawn Chin;cnw
Ngbee;jgb
Ngeq;ngt
Ngile;jle
Ngiti;niy
Ngkâlmpw Kanum;kcd
Ngombe (Central African Republic);nmj
Ngombe (Democratic Republic of the Congo);ngc
Ngong;nnx
Nguluwan;nuw
Ngumbi;nui
Ngura;nbx
Ngurmbur;nrx
Nhengatu;yrl
Nhirrpi;hrp
Nicaragua Creole English;bzk
Niellim;nie
Nigerian Fulfulde;fuv
Nigerian Sign Language;nsi
Nijadali;nad
Nila;nil
Nimanbur;nmp
Nimbari;nmr
Nimboran;nir
Nimo;niw
Nimoa;nmw
Ningil;niz
Ningye;nns
Ninia Yali;nlk
Ninzo;nin
Nipsan;nps
Nisa;njs
Nisi;yso
Niuatoputapu;nkp
Njalgulgule;njl
Nkhumbi;khu
Nkoroo;nkx
Nocte Naga;njb
Noiri;noi
Nomane;nof
Nomu;noh
Nooksack;nok
Nootka;noo
Norman;roa-nor
Norra;nrr
North Alaskan Inupiatun;esi
North Asmat;nks
North Awyu;yir
North Azerbaijani;azj
North Central Mixe;neq
North Giziga;gis
North Nuaulu;nni
North Picene;nrp
North Tairora;tbg
North Wahgi;whg
North Wemale;weo
Northeast Kiwai;kiw
Northern Amami-Oshima;ryn
Northern Bai;bfc
Northern Bontok;rbk
Northern Gondi;gno
Northern Guiyang Hmong;huj
Northern Huishui Hmong;hmi
Northern Kalapuya;nrt
Northern Kissi;kqs
Northern Lorung;lbr
Northern Mashan Hmong;hmp
Northern Muji;ymx
Northern Nisu;yiv
Northern Pumi;pmi
Northern Rengma Naga;nnl
Northern Toussian;tsp
Northern Tujia;tji
Northern Uzbek;uzn
Northwest Alaska Inupiatun;esk
Northwestern Fars;faz
Northwestern Kolami;kfb
Norwegian Sign Language;nsl
Noxilo;art-nox
Noy;noy
Nubri;kte
Nukuini;nuc
Nukumanu;nuq
Nukunu;nnv
Nukunul;xnu
Nukuria;nur
Numana-Nunku-Gbantu-Numbu;nbr
Numbami;sij
Numee;kdk
Nungali;nug
Nunggubuyu;nuy
Nupbikha;npb
Nupe-Nupe-Tako;nup
Nusa Laut;nul
Nusu;nuf
Nuu-chah-nulth;nuk
Nyabwa;nwb
Nyaheun;nev
Nyahkur;cbn
Nyâlayu;yly
Nyamusa-Molo;nwm
Nyamwanga;mwn
Nyanga;nyj
Nyangatom;nnj
Nyang'i;nyp
Nyangumarta;nna
Nyanza;mjh
Nyarafolo Senoufo;sev
Nyasa;mgs
Nyawaygi;nyt
Nyeu;nyl
Nyole;nuj
Nyong;muo
Nyore;nyd
Nzima;nzi
Oblo;obl
Odoodee;kkc
O'du;tyh
Ofo;ofo
Oki-No-Erabu;okn
Okodia;okd
Oko-Juwoi;okj
Okolod;kqv
Old Danish;gmq-oda
Old Hittite;oht
Old Italian;roa-oit
Old Kentish Sign Language;okl
Old Lithuanian;bat-olt
Old Ossetic;oos
Old Polish;zlw-opl
Old Portuguese;roa-ptg
Old Provençal;pro
Old South Arabian;sem-srb
Old Swedish;gmq-osw
Old Uighur;oui
Olkol;olk
Olu'bo;lul
Oluwanga;lwg
Omati;mgx
Omejes;ome
Omi;omi
Omotik;omt
Omurano;omu
Ong;oog
Ongota;bxe
Onin Based Pidgin;onx
Ontenu;ont
Oorlams;oor
Opuuo;lgn
Orang Kanaq;orn
Orang Seletar;ors
Oraon Sadri;sdr
Orma;orc
Oroha;ora
Oti;oti
Otoro;otr
Oune;oue
Owenia;wsr
Oy;oyb
Oyda;oyd
Pa Di;pdi
Pa'a;pqa
Paama;pma
Páez;pbb
Pahlavani;phv
Pa-Hng;pha
Pahouin;fan
Paite Chin;pck
Pakanha;pkn
Pakistan Sign Language;pks
Pak-Tong;pkg
Paku Karen;kpp
Paku;pku
Palatinate German;pfl
Palikúr;plu
Paliyan;pcf
Palpa;plp
Paluan;plz
Palumata;pmc
Pam;pmn
Pamosu;hih
Panamanian Sign Language;lsp
Panang;pcr
Panará;kre
Panasuan;psn
Pancana;pnp
Panim;pnr
Paniya;pcg
Pankararé;pax
Pankararú;paz
Pankhu;pkh
Pannei;pnc
Panoan Katukína;knt
Pao;ppa
Papi;ppe
Papitalai;pat
Papuan Mor;moq
Paraguayan Sign Language;pys
Paranan;prf
Parawen;prw
Pardhan;pch
Pardhi;pcl
Pare;ppt
Parecís;pab
Parenga;pcj
Parkari Koli;kvx
Parsi;prp
Parsi-Dari;prd
Parya;paq
Pasi;psq
Pataxó Hã-Ha-Hãe;pth
Pathiya;pty
Pattani;lae
Paulohi;plh
Paunaca;pnk
Paynamar;pmr
Pecheneg;xpc
Pei;ppq
Pekal;pel
Pela;bxd
Pelende;ppp
Penang Sign Language;psg
Pendau;ums
Perai;wet
Pero;pip
Persian Sign Language;psc
Peruvian Sign Language;prl
Petjo;pey
Pévé;lme
Phai;prt
Phala;ypa
Phana';phq
Philippine Sign Language;psp
Phola;ypg
Pholo;yip
Phom;nph
Phong-Kniang;pnx
Phrae Pwo Karen;kjt
Phuan;phu
Phudagi;phd
Phuie;pug
Phukha;phh
Phuma;ypm
Phunoi;pho
Phuong;phg
Phupa;ypp
Phupha;yph
Phuthi;bnt-phu
Phuza;ypz
Piame;pin
Piaroa;pid
Picuris;nai-pic
Pijao;pij
Pimbwe;piw
Pinai-Hagahai;pnn
Pini;pii
Pinjarup;pnj
Pintiini;pti
Pirriya;xpa
Piru;ppr
Pisaflores Tepehua;tpp
Piscataway;psy
Pisidian;xps
Piu;pix
Piya-Kwonci;piy
Plains Indian Sign Language;psd
Plapo Krumen;ktj
Playero;gob
Pochuri Naga;npo
Pogolo;poy
Poke;pof
Polci;plj
Polish Sign Language;pso
Pomeranian;zlw-pom
Pomo;pmm
Ponares;pod
Pongu;png
Porohanon;prh
Portuguese Sign Language;psr
Pottangi Ollar Gadaba;gdb
Poumei Naga;pmx
Poyanáwa;pyn
Prasuni;prn
Pray;pry
pre-Roman (Balkans);und-bal
pre-Roman (Iberia);und-ibe
Proto-Afro-Asiatic;afa-pro
Proto-Albanian;sqj-pro
Proto-Algic;aql-pro
Proto-Algonquian;alg-pro
Proto-Altaic;tut-pro
Proto-Anatolian;ine-ana-pro
Proto-Armenian;hyx-pro
Proto-Atayalic;map-ata-pro
Proto-Athabaskan;ath-pro
Proto-Austro-Asiatic;aav-pro
Proto-Austronesian;map-pro
Proto-Baltic;bat-pro
Proto-Balto-Slavic;ine-bsl-pro
Proto-Bantu;bnt-pro
Proto-Basque;euq-pro
Proto-Berber;ber-pro
Proto-Brythonic;cel-bry-pro
Proto-Bungku-Tolaki;poz-btk-pro
Proto-Celtic;cel-pro
Proto-Central Malayo-Polynesian;plf-pro
Proto-Central New South Wales;aus-cww-pro
Proto-Central-Eastern Malayo-Polynesian;poz-cet-pro
Proto-Chamic;cmc-pro
Proto-Chukotko-Kamchatkan;qfa-cka-pro
Proto-Dravidian;dra-pro
Proto-Eastern Malayo-Polynesian;pqe-pro
Proto-Eastern Polynesian;poz-pep-pro
Proto-East-Polynesian;pqe-pol-pro
Proto-Eskimo;esx-esk-pro
Proto-Eskimo-Aleut;esx-pro
Proto-Finnic;fiu-fin-pro
Proto-Finno-Permic;fiu-fpr-pro
Proto-Finno-Ugric;fiu-pro
Proto-Germanic;gem-pro
Proto-Halmahera-Cenderawasih;poz-hce-pro
Proto-Hellenic;grk-pro
Proto-Hmong;hmn-pro
Proto-Hmong-Mien;hmx-pro
Proto-Indo-Aryan;inc-pro
Proto-Indo-European;ine-pro
Proto-Indo-Iranian;iir-pro
Proto-Inupik;esx-inu-pro
Proto-Iranian;ira-pro
Proto-Italic;itc-pro
Proto-Japonic;jpx-pro
Proto-Kartvelian;ccs-pro
Proto-Korean;qfa-kor-pro
Proto-Lampungic;poz-lgx-pro
Proto-Malayic;poz-mly-pro
Proto-Malayo-Chamic;poz-mcm-pro
Proto-Malayo-Polynesian;poz-pro
Proto-Malayo-Sumbawan;poz-msa-pro
Proto-Mien;hmx-mie-pro
Proto-Mongolic;xgn-pro
Proto-Mon-Khmer;mkh-pro
Proto-Nahuan;azc-nah-pro
Proto-Norse;gmq-pro
Proto-North Caucasian;ccn-pro
Proto-North Sarawak;poz-swa-pro
Proto-Northeast Caucasian;cau-nec-pro
Proto-Nuclear Polynesian;poz-pnp-pro
Proto-Oceanic;poz-oce-pro
Proto-Pama-Nyungan;aus-pam-pro
Proto-Philippine;phi-pro
Proto-Polynesian;poz-pol-pro
Proto-Rukai;dru-pro
Proto-Samic;smi-pro
Proto-Samoyedic;syd-pro
Proto-Semitic;sem-pro
Proto-Sino-Tibetan;sit-pro
Proto-Siouan;sio-pro
Proto-Siouan-Catawban;sca-pro
Proto-Slavic;sla-pro
Proto-South Sulawesi;poz-ssw-pro
Proto-Southwestern Tai;tai-swe-pro
Proto-Sunda-Sulawesi;poz-sus-pro
Proto-Tai;tai-pro
Proto-Tocharian;ine-toc-pro
Proto-Turkic;trk-pro
Proto-Ugric;fiu-ugr-pro
Proto-Uralic;urj-pro
Proto-Uto-Aztecan;azc-pro
Proto-Western Malayo-Polynesian;pqw-pro
Proto-Vietic;mkh-vie-pro
Proto-Yeniseian;qfa-yen-pro
Providencia Sign Language;prz
Psikye;kvj
Pu Ko;puk
Pu Xian;cpx
Puare;pux
Puelche;pue
Puerto Rican Sign Language;psl
Puimei Naga;npu
Puinave;pui
Pukapuka;pkp
Pulaar;fuc
Pulabu;pup
Pular;fuf
Puluwatese;puw
Puma;pum
Pumé;yae
Punan Aput;pud
Punan Batu;pnm
Punan Merah;puf
Punan Merap;puc
Punan Tubu;puj
Puquina;puq
Puragi;pru
Purari;iar
Puri;prr
Purik;prx
Puruborá;pur
Purum Naga;puz
Putai;mfl
Puyo-Paekche;xpp
Pwaamei;pme
Pwapwa;pop
Pwo Eastern Karen;kjp
Pyapun;pcw
Pye Krumen;pye
Pyen;pyy
Pyu;pby
Päri;lkr
Qabiao;laq
Qashqa'i;qxq
Qila Muji;ymq
Qiubei Zhuang;zqe
Quechan;yum
Queyu;qvy
Quinqui;quq
Rahambuu;raz
Rajah Kabunsuwan Manobo;mqk
Rajasthani;raj
Raji;rji
Rama;rma
Ramopa;kjx
Rampi;lje
Rang;rax
Rangkas;rgk
Ranglong;rnl
Rapa;ray
Rapoisi;kyx
Rapting;rpt
Rara Bakati';lra
Rathawi;rtw
Rawat;jnl
Rawo;rwa
Reang;ria
Red Gelao;gir
Reli;rei
Rempi;rmp
Rengao;ren
Rennellese Sign Language;rsi
Rer Bare;rer
Rerau;rea
Reshe;res
Retta;ret
Riang;ril
Rien;rie
Ringgou;rgu
Ririo;rri
Rogo;rod
Roma;rmm
Romam;rmx
Romani Greek;rge
Romanian Sign Language;rms
Rongga;ror
Rongpo;rnp
Ronji;roe
Rufiji;rui
Ruga;ruh
Ruma;ruz
Rumu;klq
Runa;rna
Runga;rou
Russenorsk;crp-rsn
Russian Sign Language;rsl
Rusyn;rue
Ruuli;ruc
Ruund;rnd
Rwa;rwk
Saam;raq
Saamia;lsm
Sabah Malay;msi
Sabaot;spy
Sabüm;sbo
Saep;spd
Sagalla;tga
Sahaptin;qot
Saidi Arabic;aec
Sajau Basap;sjb
Sakachep;sch
Sakam;skm
Sakirabiá;skf
Salas;sgu
Salchuq;slq
Saleman;sau
Saliba;sbe
Sáliba;slc
Salt-Yui;sll
Saluan;loe
Sam;snx
Samaritan;smp
Samarokena;tmj
Samatao;ysd
Samba Daka;ccg
Samba Leko;ndi
Samburu;saq
Samei;smh
Samo;smq
Samoan Plantation Pidgin;cpe-spp
Sampang;rav
Samre;sxm
Samtao;stu
Samvedi;smv
San Dionisio Del Mar Huave;hve
San Francisco Del Mar Huave;hue
San Francisco Matlatzinca;mat
San Miguel El Grande Mixtec;mig
San Salvador Kongo;kwy
Sanaani Arabic;ayn
Sanapaná;sap
Sanggau;scg
Sangkong;sgk
Sanglechi;sgy
Sangtam Naga;nsa
Sangu;sbp
Sanie;ysy
Sankaran Maninka;msc
Sansi;ssi
Sansu;sca
Santa María Del Mar Huave;hvv
Sanumá;xsu
Sa'och;scq
Saparua;spr
Sapé;spc
Sapo;krn
Saponi;spi
Saposa;sps
Sapuan;spu
Sara Dunjo;koj
Sara Kaba Deme;kwg
Sara;sre
Sarasira;zsa
Saraveca;sar
Sarcee;srs
Sarudu;sdu
Sassarese Sardinian;sdc
Saudi Arabian Sign Language;sdl
Sauk;skc
Sauraseni Prakrit;psu
Sauri;srt
Savara;svr
Saweru;swr
Savi;sdg
Sawila;swt
Scythian;xsc
Seberuang;sbx
Sebuyau;snb
Sedoa;tvw
Seeku;sos
Segai;sge
Seget;sbg
Seit-Kaitetu;hik
Sekapan;skp
Sekar;skz
Seke;skj
Seko Padang;skx
Seko Tengah;sko
Sekpele;lip
Selangor Sign Language;kgi
Selayar;sly
Selepet;spl
Selian;sxl
Selknam;ona
Selkup;sel
Selungai Murut;slg
Seluwasan;sws
Sema;nsm
Semandang;sdm
Semaq Beri;szc
Sembakung Murut;sbr
Semnam;ssm
Sempan;xse
Senara Sénoufo;seq
Senaya;syn
Sene;sej
Sened;sds
Senggi;snu
Senhaja De Srair;sjs
Senthang Chin;sez
Sentinelese;std
Sepa;spe
Sepik Iwam;iws
Seraiki;skr
Serili;sve
Seroa;kqu
Serua;srw
Serudung Murut;srk
Settla;sta
Sewa Bay;sew
Shall-Zwall;sha
Shamang;xsh
Shangzhai;jih
Shatt;shj
She;shx
Shekkacho;moy
Sheko;she
Shempire Senoufo;seb
Shendu;shl
Sherdukpen;sdp
Shinabo;snh
Shinyiha;nyr
Shom Peng;sii
Shqip;shq
Shuadit;sdt
Shubi;suj
Shumcho;scu
Shuwa-Zamani;ksa
Shwai;shw
Sialum;slw
Siamou;sif
Sian;spg
Siang;sya
Siar-Lak;sjr
Sibu Melanau;sdx
Sicanian;sxc
Sìcìté Sénoufo;sep
Sierra Leone Sign Language;sgx
Sihan;snr
Sikaritai;tty
Sikule;skh
Sila;slt
Sileibi;sbq
Silesian German;sli
Silimo;wul
Silopi;xsp
Simbari;smb
Simbo;sbb
Simeku;smz
Simte;smt
Singapore Sign Language;sls
Sinsauru;snz
Sio;xsi
Sipacapense;qum
Sirmauri;srx
Siuslaw;sis
Siwa;siz
Siwai;siw
Siyin Chin;csy
Slavey;den
Slovakian Sign Language;svk
Slovincian;zlw-slv
Small Flowery Miao;sfm
Smärky Kanum;kxq
Sô;sss
Sobei;sob
Soi;soj
Sok;skk
Sokna;swn
Solano;xso
Solos;sol
Somray;smu
Songa;sgo
Songlai Chin;csj
Songo;soo
Sonha;soi
Sonia;siq
Soo;teu
Sorkhei;sqo
Sorothaptic;sxo
Sota Kanum;krz
Sou;sqq
South African Sign Language;sfs
South Azerbaijani;azb
South Central Banda;lnl
South Giziga;giz
South Lembata;lmf
South Nuaulu;nxl
South Watut;mcy
South Wemale;tlw
Southeast Babar;vbb
Southern Amami-Oshima;ams
Southern Aymara;ayc
Southern Balochi;bcc
Southern Bobo Madaré;bwq
Southern Bontok;obk
Southern Gondi;ggo
Southern Guiyang Hmong;hmy
Southern Kalapuya;sxk
Southern Kalinga;ksc
Southern Kisi;kss
Southern Kiwai;kjd
Southern Lolopo;ysp
Southern Lorung;lrr
Southern Ma'di;snm
Southern Mnong;mnn
Southern Muji;ymc
Southern Nambikuára;nab
Southern Nicobarese;nik
Southern Nisu;nsd
Southern Pumi;pmj
Southern Qiandong Miao;hms
Southern Rengma Naga;nre
Southern Roglai;rgs
Southern Toussian;wib
Southern Uzbek;uzs
Southwestern Bontok;vbk
Southwestern Fars;fay
Southwestern Guiyang Hmong;hmg
Southwestern Huishui Hmong;hmh
Southwestern Nisu;nsv
Southwestern Tamang;tsf
Sowanda;sow
Soyaltepec Mazatec;vmp
Spanish Sign Language;ssp
Spiti Bhoti;spt
Spokane;spo
Sri Lankan Sign Language;sqs
Standard Moroccan Tamazight;zgh
Stod Bhoti;sbu
Suarmin;seo
Suau;swp
Subi;xsj
Sudest;tgo
Sukurum;zsu
Sulka;sua
Sulod;srg
Sulung;suv
Suma;sqm
Sunam;ssk
Suoy;syo
Sur;tdl
Surbakhal;sbj
Suri;suq
Suruahá;swx
Susquehannock;sqn
Suwawa;swu
Swati;\N
Swedish Sign Language;swl
Swiss-French Sign Language;ssr
Swiss-German Sign Language;sgg
Swiss-Italian Sign Language;slf
Syenara Senoufo;shz
Syriac;syr
Syrian Arabic;sem-syr
Tabassaran;tab
Tabla;tnm
Tabo;knv
Tachelhit;shi
Tafi;tcd
Tagargrent;oua
Tagbu;tbm
Tagdal;tda
Tagwana Senoufo;tgw
Tahaggart Tamahaq;thv
Tai Hang Tong;thc
Tai Hongjin;tiz
Tai Loi;tlq
Tai Long;thi
Tai Mène;tmp
Tai Pao;tpo
Tai Thanh;tmm
Taiap;gpn
Taimyr Pidgin Russian;crp-tpr
Taino;tnq
Tairuma;uar
Taiwan Sign Language;tss
Ta'izzi-Adeni Arabic;acq
Taje;pee
Tajuasohn;tja
Takelma;tkm
Takestani;tks
Takua;tkz
Talaud;tld
Talieng;tdf
Talinga-Bwisi;tlj
Talise;tlr
Talodi;tlo
Taloki;tlk
Talondo';tln
Talu;yta
Talur;ilw
Tamagario;tcg
Tamashek;tmh
Tamasheq;taq
Tambas;tdk
Tami;tmy
Tamnim Citak;tml
Tampias Lobu;low
Tampulma;tpm
Tanahmerah;tcm
Tanapag;tpv
Tangchangya;tnv
Tangga;tgg
Tangko;tkx
Tanglang;ytl
Tanjijili;uji
Tanzanian Sign Language;tza
Tapeba;tbb
Tapieté;tpj
Tar Gula;kcm
Tarantino;roa-tar
Tarao Naga;tro
Tareng;tgr
Tartessian;txr
Tasawaq;twq
Tasmanian;xtz
Tatana;txx
Tauade;ttd
Taulil;tuh
Taupota;tpa
Taushiro;trr
Tawallammat Tamajaq;ttq
Tawara;twl
Tawoyan;twy
Tawr Chin;tcp
Tay Boi;tas
Tay Khang;tnu
Tày Sa Pa;tys
Tày Tac;tyt
Tayart Tamajeq;thz
Taznatit;grr
Tchitchege;tck
Tebul Sign Language;tsy
Tedaga;tuq
Téén;lor
Tehit;kps
Teke-Ebo;ebo
Teke-Fuumu;ifm
Teke-Kukuya;kkw
Teke-Laali;lli
Teke-Nzikou;nzu
Teke-Tege;teg
Teke-Tsaayi;tyi
Tektiteko;ttc
Tela-Masbuar;tvm
Telefol;tlf
Teluti;tlt
Temacine Tamazight;tjo
Teme;tdo
Temein;teq
Temoq;tmo
Tempasuk Dusun;tdu
Temuan;tmw
T'en;tct
Tenggarong Kutai Malay;vkt
Tennet;tex
Teor;tev
Tepo Krumen;ted
Tera;ttr
Terebu;trb
Teressa;tef
Tereweng;twg
Terik;tec
Ternateño;tmg
Tese;keg
Teshenawa;twc
Tetela;tll
Tewe;twx
Tha;thy
Thachanadan;thn
Thado Chin;tcz
Thakali;ths
Thangal Naga;nki
Thangmi;thf
Tharaka;thk
Thawa;xtv
Thayore;thd
Thaypan;typ
The;thx
Thopho;ytp
Thu Lao;tyl
Thudam;thw
Thulung;tdh
Thurawal;tbh
Thuri;thu
Tichurong;tcn
Tidikelt Tamazight;tia
Tidong;tid
Tiéfo;tiq
Tiene;tii
Tifal;tif
Tii;txq
Tilung;tij
Tima;tms
Timbe;tim
Timne;tem
Timucua;tjm
Tinà Sambal;xsb
Tinani;lbf
Tingal;tie
Tinigua;tit
Tinoc Kallahan;tne
Tinputz;tpz
Tippera;tpe
Tira;tic
Tirahi;tra
Tiranige Diga Dogon;tde
Tircul;pyx
Tiri;cir
Tita;tdq
Titan;ttv
Tivi;tiv
Tlachichilco Tepehua;tpt
Tlacoapa Me'phaa;tpl
Tlahuitoltepec Mixe;mxp
To;toz
Toaripi;tqo
Tobanga;tng
Tobian;tox
Tobo;tbv
Todrah;tdr
Tofanma;tlg
Tofin Gbe;tfi
Togbo-Vara Banda;tor
Togoyo;tgy
Toki Pona;art-top
Toku-No-Shima;tkn
Tombelala;ttp
Tomedes;toe
Tommo So Dogon;dto
Tomoip;tqp
Tonga;toi
Tongwe;tny
Tonjon;tjn
Topoiyo;toy
Toposa;toq
Torá;trz
Toram;trj
Torau;ttu
Toro;tdv
Torona;tqr
Touo;tqu
Towei;ttn
Tregami;trm
Tremembé;tme
Trieng;stg
Trimuris;tip
Tring;tgq
Tringgus-Sembaan Bidayuh;trx
Trinidad and Tobago Sign Language;lst
Trinitario;trn
Truká;tka
Trumai;tpy
Tsaangi;tsa
Tsakwambo;kvz
Tsamai;tsb
Tsat;huq
Tseku;tsk
Tshiluba;lua
Tsikimba;kdl
Tsishingini;tsw
Tso;ldp
Tsoa;hio
Tsogo;tsv
Tsum;ttz
Tsuvadi;tvd
Tsuvan;tsh
Tswa;tsc
Tswapong;two
Ts'ün-Lao;tsl
Tugen;tuy
Tugun;tzn
Tugutil;tuj
Tukang Besi North;khc
Tukpa;tpq
Tula;tul
Tulehu;tlu
Tumak;tmc
Tumari Kanuri;krt
Tumi;kku
Tumleo;tmq
Tumtum;tbr
Tumzabt;mzb
Tunen;baz
Tunen;tvu
Tunia;tug
Tunisian Sign Language;tse
Tunni;tqq
Tupinikin;tpk
Turaka;trh
Turi;trd
Turkic Khalaj;klj
Turkish Sign Language;tsm
Turks And Caicos Creole English;tch
Turumsa;tqm
Tutsa Naga;tvt
Tuwari;tww
Tuxá;tud
Twendi;twn
Tyaraity;woa
U;uuu
Uamué;uam
Uare;ksj
Ubi;ubi
Uda;uda
Uduk;udu
Ugandan Sign Language;ugn
Ughele;uge
Ugong;ugo
Uisai;uis
Ukaan;kcf
Ukhwejo;ukh
Ukit;umi
Ukrainian Sign Language;ukl
Ukuriguma;ukg
Ukwa;ukq
Ulithian;uli
Ullatan;ull
Ulukwumi;ulb
Ulumanda';ulm
Ulwa;ulw
Uma' Lasan;xky
Uma' Lung;ulu
Umbindhamu;umd
Umbugarla;umr
Umbuygamu;umg
Umeda;upi
Umotína;umo
Una;mtg
Unas;art-una
Unubahe;unu
Upper Guinea Crioulo;pov
Upper Saxon;sxu
Upper Tanudan Kalinga;kgh
Upper Ta'oih;tth
Ura;uur
Urapmin;urm
Urarina;ura
Uripiv-Wala-Rano-Atchin;upv
Urningangg;urc
Uru;ure
Uruguayan Sign Language;ugy
Usui;usi
Utu;utu
Uya;usu
Wa;wbm
Waata;ssn
Waboda;kmx
Waci Gbe;wci
Wadaginam;wdg
Waddar;wbq
Wadi Wadi;xwd
Wadikali;wdk
Wadiyara Koli;kxp
Wadjabangayi;wdy
Wadjiginy;wdj
Wadjigu;wdu
Wae Rana;wrx
Vafsi;vaf
Wagawaga;wgb
Wagaya;wga
Wagdi;wbr
Vaghat-Ya-Bijim-Legeri;bij
Vagla;vag
Wahau Kayan;whu
Wahau Kenyah;whk
Wahgi;wgi
Waigeo;wgo
Waioli;wli
Vaiphei;vap
Waja;wja
Wajuk;xwj
Waka;wav
Wakawaka;wkw
Wakoná;waf
Wala;lgl
Walak;wlw
Walamo;wal
Walangama;nlw
Vale;vae
Valencian Sign Language;vsv
Walio;wla
Valman;van
Walo Kumbe Dogon;dwl
Walser;wae
Walungge;ola
Wamas;wmc
Vame;mlr
Wamin;wmi
Wan;wan
Wanda;wbh
Wandji;wdd
Wangaaybuwan-Ngiyambaa;wyb
Wangkayutyuru;wky
Vanimo;vam
Wanman;wbt
Wannu;jub
Vanuma;vau
Wapan;juk
Wára;tci
Wara;wbf
Waray;wrz
Wardaman;wrr
Wardandi;wxw
Warduji;wrd
Warembori;wsa
Wares;wai
Varhadi-Nagpuri;vah
Waris;wrs
Varisi;vrs
Warlmanpa;wrl
Warnang;wrn
Warrwa;wwr
Waru;wru
Waruna;wrv
Vasavi;vas
Vasekela Bushman;vaj
Wasu;wsu
Watakataui;wtk
Waube;kop
Waurá;wau
Wauyai;wuy
Waxianghua;wxa
Wayoró;wyr
Vayu;vay
Wè Northern;wob
Wè Western;wec
Weh;weh
Vehes;val
Welaung;weu
Weme Gbe;wem
Vemgo-Mabas;vem
Venetian;vec
Venezuelan Sign Language;vsl
Wergaia;weg
Weri;wer
Wersing;kvw
West Berawan;zbw
West Central Oromo;gaz
West Kewa;kew
West Lembata;lmj
West Masela;mss
West Yugur;ybe
West-Central Limba;lia
Western Balochi;bgn
Western Canadian Inuktitut;ikt
Western Kanjobal;knj
Western Karaboro;kza
Western Krahn;krw
Western Lalu;ywl
Western Maninkakan;mlq
Western Mashan Hmong;hmw
Western Meohang;raf
Western Muria;mut
Western Niger Fulfulde;fuh
Western Panjabi;pnb
Western Persian;pes
Western Tawbuid;twb
Western Tunebo;tnb
Wewaw;wea
Weyto;woy
White Gelao;giw
White Lachi;lwh
Vidunda;vid
Viemo;vig
Wikalkan;wik
Wik-Epa;wie
Wik-Iiyanh;wij
Wik-Keyangan;wif
Wik-Me'anha;wih
Wik-Ngathana;wig
Wikngenchera;wua
Wilawila;wil
Vilela;vil
Wintu;wit
Winyé;kst
Vinza;vin
Wiradhuri;wrh
Wirangu;wiw
Wiru;wiu
Vishavan;vis
Viti;vit
Vitou;vto
Wojenaka;jod
Vono;kch
Voro;vor
Worodougou;jud
Worora;unp
Wotapuri-Katarqalai;wsv
Wotjobaluk;xwt
Wotu;wtw
Wuding-Luquan Yi;ywq
Wuliwuli;wlu
Wulna;wux
Vumbu;vum
Wumeng Nasu;ywu
Wunai Bunu;bwn
Wunambal;wub
Wurrugu;wur
Wusa Nasu;yig
Xaasongaxango;kao
Xaragure;axx
Xiandao;xia
Xicotepec De Juárez Totonac;too
Xipaya;xiy
Xipináwa;xip
Xiri;xii
Xishanba Lalo;ywt
Xokleng;xok
Xukurú;xoo
Xwela Gbe;xwe
Yaaku;muu
Yaben;ybm
Yabong;ybo
Yafi;wfg
Yagua;yad
Yahadian;ner
