'Are'are;alu
Chuvan;xcv
Chuvantsy;xcv
Chuvash;cv
Chuwabu;chw
Ci Gbe;cib
Cia-Cia;cia
Cibak;ckl
Cicipu;awc
Cimbrian;cim
Cinamiguin Manobo;mkx
Cinda-Regi-Tiyal;cdr
Cineni;cie
Cinta Larga;cin
Cishingini;asg
Citak;txt
Ciwogai;tgd
Classical Gaelic;ghc
Classical Mandaic;myz
Classical Mongolian;cmg
Classical Nahuatl;nci
Classical Newar;nwc
Classical Newari;nwc
Classical Quechua;qwc
Classical Syriac;syc
Classical Tibetan;xct
Coahuilteco;xcw
Coast Miwok;csi
Coastal Kadazan;kzj
Coastal Konjo;kjc
Coatecas Altas Zapotec;zca
Coatepec Nahuatl;naz
Coatlán Mixe;mco
Coatlán Zapotec;zps
Coatzospan Mixtec;miz
Cocama-Cocamilla;cod
Cocama;cod
Cochimi;coj
Cocopa;coc
Cocos Islands Malay;coa
Coeur d'Alene;crd
Cofán;con
Cogui;kog
Col;liw
Colombian Sign Language;csn
Colonia Tovar German;gct
Colorado;cof
Columbia-Wenatchi;col
Comaltepec Chinantec;cco
Comanche;com
Comecrudo;xcm
Communicationssprache;art-com
Como Karim;cfg
Comorian;\N
Comox;coo
Con;cno
Coos;csz
Copainalá Zoque;zoc
Copala Triqui;trc
Coptic;cop
Coquille;coq
Cora;crn
Cori;cry
Cornish;kw
Corsican;co
Cosoleacaque Nahuatl;nhk
Costa Rican Sign Language;csr
Cotabato Manobo;mta
Cotoname;xcn
Cowlitz;cow
Coxima;kox
Coyaima;coy
Coyotepec Popoloca;pbf
Coyutla Totonac;toc
Cree;cr
Creek;mus
Crimean Gothic;gme-cgo
Crimean Tatar;crh
Croatian Sign Language;csq
Cross River Mbembe;mfn
Crow;cro
Cruzeño;crz
Cốông;cnc
Cua;cua
Cuban Sign Language;csf
Cubeo;cub
Cuiba;cui
Cuitlatec;cuy
Culina;cul
Cumanagoto;cuo
Cumbric;xcb
Cumeral;cum
Cun;cuq
Cung;cug
Cupeño;cup
Curonian;xcu
Curripaco;kpc
Cutchi-Swahili;ccl
Cuvok;cuv
Cuyamecalco Mixtec;xtu
Cuyunon;cyo
Cwi Bwamu;bwy
Cypriot Arabic;acy
Czech Sign Language;cse
Czech;cs
Dâw;kwa
Da'a Kaili;kzf
Daai Chin;dao
Daakaka;bpa
Daantanai';lni
Daasanach;dsh
Daba;dbq
Dabarre;dbr
Dabe;dbe
Dacian;xdc
Dadi Dadi;dda
Dadibi;mps
Dadiya;dbd
Daga;dgz
Dagaari Dioula;dgd
Dagba;dgk
Dagbani;dag
Dagik;dec
Dagoman;dgn
Dahalik;dlk
Dahalo;dal
Daho-Doo;das
Dai Zhuang;zhd
Dai;dij
Dair;drb
Dairi Batak;btd
Dakaka;bpa
Dakka;dkk
Dakota;dak
Dakpa;dka
Dakpakha;dka
Dalmatian;dlm
Daloa Bété;bev
Dama (Nigeria);dmm
Dama;dmm
Damakawa;dam
Damal;uhn
Dambi;dac
Dameli;dml
Dampelas;dms
Dan;daf
Dan;dnj
Danaru;dnr
Danau;dnu
Dandami Maria;daq
Dangaléat;daa
Dangaura Tharu;thl
Danish Sign Language;dsl
Danish;da
Dano;aso
Danu;dnv
Danuwar;dhw
Dao;daz
Daonda;dnd
Dar Daju Daju;djc
Dar Fur Daju;daj
Dar Sila Daju;dau
Darai;dry
Dargwa;dar
Darkinjung;aus-dar
Darkinjung;xda
Darling;drl
Darlong;dln
Darmiya;drd
Daro-Matu Melanau;dro
Dass;dot
Datooga;tcc
Daungwurrung;dgw
Daur;dta
Davawenyo;daw
Dawawa;dww
Dawera-Daweloor;ddw
Dawro;dwr
Day;dai
Dayi;dax
Daza;dzd
Dazaga;dzg
Deccan;dcc
Deccani;dcc
Dedua;ded
Defaka;afn
Defi Gbe;gbh
Deg Xinag;ing
Deg;mzw
Degaru;dgu
Degema;deg
Degenan;dge
Dehwari;deh
Dek;dek
Dela-Oenale;row
Delo;ntr
Dem;dem
Dema;dmx
Demisa;dei
Demta;dmy
Dení;dny
Dena'ina;tfn
Dendi;ddn
Dengese;dez
Dengka;dnk
Deno;dbb
Denya;anv
Deori;der
Desano;des
Desiya;dso
Dewoin;dee
Dezfuli;def
Dghwede;dgh
Dhaiso;dhs
Dhalandji;dhl
Dhangu;dhg
Dhanki;dhn
Dhao;nfa
Dhargari;dhr
Dharug;xdk
Dhatki;mki
Dhimal;dhi
Dhivehi;dv
Dhodia;dho
Dhofari Arabic;adf
Dhudhuroa;ddr
Dhundhari;dhd
Dhungaloo;dhx
Dhurga;dhu
Dhuwal;duj
Dhuwal;dwu
Dhuwaya;dwy
Dia;dia
Dibabawon Manobo;mbd
Dibiyaso;dby
Dibo;dio
Dibole;bvx
Dicamay Agta;duy
Didinga;did
Diebroud;tbp
Dieri;dif
Digaro-Mishmi;mhu
Digo;dig
Dii;dur
Diitidaht;dtd
Dijim-Bwilim;cfa
Dilling;dil
Dima;jma
Dimasa;dis
Dimbong;dii
Dime;dim
Dimir;dmc
Dineor;mrx
Ding;diz
Dinka;din
Diodio;ddi
Dirari;dit
Dirasha;gdl
Diri;dwa
Dirim;dir
Disa;dsi
Ditammari;tbz
Ditidaht;dtd
Diudish;diu
Diuwe;diy
Diuxi-Tilantongo Mixtec;xtd
Dixon Reef;dix
Dizin;mdx
Djadjawurrung;dja
Djambarrpuyngu;djr
Djamindjung;djd
Djangun;djf
Djauan;djn
Djawi;djw
Djeebbana;djj
Djimini Senoufo;dyi
Djimini;dyi
Djinang;dji
Djinba;djb
Djiwarli;djl
Dobel;kvo
Dobu;dob
Doe;doe
Doga;dgg
Doghoro;dgx
Dogosé;dos
Dogoso;dgs
Dogri;doi
Dogrib;dgr
Dogul Dom Dogon;dbg
Dogul Dom;dbg
Doka;dbi
Doko-Uyanga;uya
Dolgan;dlg
Dolpo;dre
Dom;doa
Domaaki;dmk
Domari;rmt
Dombe;dov
Dominican Sign Language;doq
Dompo;doy
Domu;dof
Domung;dev
Dondo;dok
Dong;doh
Dongo;doo
Dongolawi;kzh
Dongotono;ddd
Dongshanba Lalo;yik
Dongxiang;sce
Donno So Dogon;dds
Doondo;dde
Dori'o;dor
Dorig;wwo
Doromu-Koki;kqc
Dororo;drr
Dorze;doz
Doso;dol
Doteli;dty
Doura;don
Doutai;tds
Doyayo;dow
Drehu;dhv
Drung;duu
Duala;dua
Duano;dup
Duau;dva
Dubli;dub
Dubu;dmu
Dugun;ndu
Duguri;dbm
Dugwor;dme
Duhwa;kbz
Duke;nke
Dulbu;dbo
Duli;duz
Duma;dma
Dumbea;duf
Dumi;dus
Dumpas;dmv
Dumun;dui
Duna;duc
Dungan;dng
Dungmali;raa
Dungra Bhil;duh
Dungu;dbv
Dupaninan Agta;duo
Dupaningan Agta;duo
Dura;drq
Durango Nahuatl;nln
Duri;mvp
Duriankere;dbn
Duruwa;pci
Dusner;dsn
Dusun Deyah;dun
Dusun Malang;duq
Dusun Witu;duw
Dutch Low Saxon;nds-nl
Dutch Sign Language;dse
Dutch;nl
Duun;dux
Duungooma;dux
Duupa;dae
Duvle;duv
Duwai;dbp
Duwet;gve
Dwang;nnu
Dyaabugay;dyy
Dyaberdyaber;dyb
Dyan;dya
Dyangadi;dyn
Dyirbal;dbl
Dyugun;dyd
Dyula;dyu
Dzùùngoo;dnn
Dza;jen
Dzala;dzl
Dzalakha;dzl
Dzando;dzn
Dzao Min;bpn
Dzodinka;add
Dzongkha;dz
Dzuun;dnn
E'ma Buyang;yzg
E;eee
Early Tripuri;xtr
East Ambae;omb
East Berawan;zbe
East Damar;dmr
East Franconian;vmf
East Futuna;fud
East Kewa;kjs
East Limba;lma
East Makian;mky
East Masela;vme
East Nyala;nle
East Tarangan;tre
East Yugur;yuy
Eastern Acipa;acp
Eastern Arrernte;aer
Eastern Balochi;bgp
Eastern Bolivian Guaraní;gui
Eastern Bontoc;ebk
Eastern Bontok;ebk
Eastern Bru;bru
Eastern Canadian Inuktitut;ike
Eastern Cham;cjm
Eastern Durango Nahuatl;azd
Eastern Egyptian Bedawi Arabic;avl
Eastern Frisian;frs
Eastern Gorkha Tamang;tge
Eastern Gurung;ggn
Eastern Highland Chatino;cly
Eastern Highland Otomi;otm
Eastern Hongshuihe Zhuang;zeh
Eastern Huasteca Nahuatl;nhe
Eastern Huishui Hmong;hme
Eastern Karaboro;xrb
Eastern Katu;ktv
Eastern Kayah;eky
Eastern Keres;kee
Eastern Krahn;kqo
Eastern Lalu;yit
Eastern Lawa;lwl
Eastern Magar;mgp
Eastern Maninkakan;emk
Eastern Mari;chm
Eastern Mari;mhr
Eastern Meohang;emg
Eastern Min;cdo
Eastern Mnong;mng
Eastern Muria;emu
Eastern Ngad'a;nea
Eastern Nisu;nos
Eastern Ojibwa;ojg
Eastern Parbate Kham;kif
Eastern Penan;pez
Eastern Persian;prs
Eastern Pomo;peb
Eastern Pwo;kjp
Eastern Qiandong Miao;hmq
Eastern Subanun;sfe
Eastern Tamang;taj
Eastern Tawbuid;bnj
Eastern Xiangxi Miao;muq
Eastern Xwla Gbe;gbx
Ebira;igb
Eblaite;xeb
Ebrié;ebr
Ebughu;ebg
Ecuadorian Sign Language;ecs
Ede Cabe;cbj
Ede Ica;ica
Ede Idaca;idd
Ede Ije;ijj
Ede Nago;nqg
Edera Awyu;awy
Edo;bin
Edolo;etr
Edomite;xdm
Edopi;dbf
Efai;efa
Efe;efe
Efik;efi
Efutop;ofu
Ega;ega
Eggon;ego
Egyptian Arabic;arz
Egyptian Sign Language;esl
Egyptian;egy
Ehueun;ehu
Eipomek;eip
Eitiep;eit
Ejagham;etu
Ejamat;eja
Ekajuk;eka
Ekari;ekg
Ekele;khy
Eki;eki
Ekit;eke
Ekpeye;ekp
El Alto Zapotec;zpp
El Hugeirat;elh
El Molo;elo
Elamite;elx
Eleme;elm
Elepi;ele
Elfdalian;dlc
Elfdalian;ovd
Elip;ekm
Elkei;elk
Eloi;art-elo
Elotepec Zapotec;zte
Eloyi;afo
Elseng;mrf
Elu;elu
Elymian;xly
Emae;mmw
Emai-Iuleha-Ora;ema
Emai;ema
Eman;emn
Embaloh;emb
Emberá-Baudó;bdc
Emberá-Catío;cto
Emberá-Chamí;cmi
Emberá-Tadó;tdc
Embu;ebu
Emem;enr
Emerillon;eme
Emilian;egl
Emok;emo
Emplawas;emw
En;enc
Enawené-Nawé;unk
Ende;end
Enga;enq
Engenni;enn
Enggano;eno
English;en
Enlhet;enl
Enrekang;ptt
Enu;enu
Enwan;env
Enwang;enw
Enxet;enx
Enya;gey
Eotile;eot
Epena;sja
Epi-Olmec;xep
Epie;epi
Epigraphic Mayan;emy
Eravallan;era
Erave;kjy
Ere;twp
Eritai;ert
Erokwanas;erw
Erre;err
Erromintxela;emx
Ersu;ers
Eruwa;erh
Erzya;myv
Esan;ish
Ese Ejja;ese
Ese;mcq
Eshtehardi;esh
Esimbi;ags
Eskayan;esy
Esperanto;eo
Esselen;esq
Estado de México Otomi;ots
Estonian Sign Language;eso
Estonian;et
Esuma;esm
Etchemin;etc
Etebi;etb
Eten;etx
Eteocretan;ecr
Eteocypriot;ecy
Ethiopian Sign Language;eth
Etkywan;ich
Eton (Cameroon);eto
Eton (Vanuatu);etn
Etruscan;ett
Etulo;utr
Evant;bzz
Even;eve
Evenki;evn
Ewage-Notu;nou
Ewe;ee
Ewondo;ewo
Extremaduran;ext
Eyak;eya
Ezaa;eza
Fagani;faf
Faire Atta;azt
Faita;faj
Faiwol;fai
Fakkanci;gel
Fala;fax
Falam Chin;cfm
Fali;fli
Faliscan;xfa
Fam;fam
Fanagalo;fng
Fanamaket;bjp
Fang (Bantu);fan
Fang (Beboid);fak
Fang;fak
Fania;fni
Fanti;fat
Far Western Muria;fmu
Farefare;gur
Faroese;fo
Fas;fqs
Fasu;faa
Fataleka;far
Fataluku;ddg
Fayu;fau
Fe'fe';fmp
Fedan;pdn
Fembe;agl
Fer;kah
Feroge;fer
Fiji Hindi;hif
Fijian;fj
Filomena Mata-Coahuitlán Totonac;tlp
Finisterre Yau;yuw
Finnish-Swedish Sign Language;fss
Finnish Sign Language;fse
Finnish;fi
Finongan;fag
Fipa;fip
Firan;fir
Fiwaga;fiw
Flemish Sign Language;vgt
Flinders Island;fln
Foau;flh
Foi;foi
Foia Foia;ffi
Folopa;ppo
Foma;fom
Fon;fon
Fongoro;fgr
Foodo;fod
Forak;frq
Fordata;frd
Fore;for
Forest Enets;enf
Fortsenal;frt
Fox;sac
Francisco León Zoque;zos
Franco-Provençal;frp
Frankish;frk
French Belgian Sign Language;sfb
French Sign Language;fsl
French;fr
Friulian;fur
Fula;ff
Fuliiru;flr
Fulniô;fun
Fum;fum
Fungwa;ula
Fur;fvr
Furu;fuu
Futuna-Aniwa;fut
Fuyug;fuy
Fwâi;fwa
Fwe;fwe
Fyam;pym
Fyer;fie
Ga'anda;gqa
Ga'dang;gdg
Ga;gaa
Gaa;ttb
Gaam;tbi
Gabadi;kbt
Gabi-Gabi;gbw
Gabi;aus-gab
Gabi;gbw
Gabri;gab
Gabrielino-Fernandeño;xgf
Gadang;gdk
Gaddang;gad
Gaddi;gbk
Gade Lohar;gda
Gade;ged
Gadjerawang;gdh
Gadsup;gaj
Gafat;gft
Gagadu;gbu
Gagauz;gag
Gagnoa Bété;btg
Gahri;bfu
Gaikundi;gbf
Gail;gic
Gaina;gcn
Gal;gap
Galambu;glo
Galatian;xga
Galela;gbi
Galeya;gar
Galibi Carib;car
Galice;gce
Galician;gl
Galindan;xgl
Galindian;xgl
Gallo;roa-gal
Gallurese Sardinian;sdn
Gallurese;sdn
Galo;adl
Galoli;gal
Gam;kmc
Gamale Kham;kgj
Gambera;gma
Gambian Wolof;wof
Gamilaraay;kld
Gamit;gbl
Gamkonora;gak
Gamo-Ningi;bte
Gamo;gmv
Gan;gan
Gana;gnq
Ganang;gne
Gandhari;pgd
Gane;gzn
Ganggalida;gcd
Ganglau;ggl
Gangte;gnb
Gangulu;gnl
Gants;gao
Ganza;gza
Ganzi;gnz
Gao;gga
Gapapaiwa;pwg
Garawa;gbc
Garawa;wrk
Garhwali;gbm
Garifuna;cab
Garingbal;xgi
Garo;grt
Garre;gex
Garus;gyb
Garza;xgr
Gata';gaq
Gaulish;cel-gau
Gavak;dmc
Gavar;gou
Gavião Do Jiparaná;gvo
Gavião do Jiparaná;gvo
Gawar-Bati;gwt
Gawwada;gwd
Gaya;zra
Gayil;gyl
Gayo;gay
Gazi;gzi
Gbagyi;gbr
Gban;ggu
Gbanu;gbv
Gbanziri;gbg
Gbari;gby
Gbati-ri;gti
Gbaya-Bossangoa;gbp
Gbaya-Bozoum;gbq
Gbaya-Mbodomo;gmm
Gbaya;gba
Gbayi;gyg
Gbesi Gbe;gbs
Gbii;ggb
Gbin;xgb
Gbiri-Niragu;grh
Gboloo Grebo;gec
Gciriku;diu
Gcwi;gwj
Ge'ez;gez
Ge;hmj
Geba Karen;kvq
Gebe;gei
Gedaged;gdd
Gedeo;drs
Geji;gji
Geko Karen;ghk
Gela;nlg
Gelao;gio
Gele';sbc
Geme;geq
Gen;gej
Gende;gaf
Gengle;geg
Georgian;ka
Gepo;ygp
Gera;gew
Gerka;gek
German Low German;nds-de
German Sign Language;gsg
German;de
Geruma;gea
Geser-Gorom;ges
Gey;guv
Ghadames;gha
Ghanaian Sign Language;gse
Ghandruk Sign Language;gds
Ghanongga;ghn
Ghari;gri
Ghayavi;bmk
Gheg Albanian;aln
Ghera;ghr
Ghodoberi;gdo
Ghomálá';bbj
Ghomala';bbj
Ghomara;gho
Ghotuo;aaa
Ghulfan;ghl
Giangan;bgi
Gibanawa;gib
Gidar;gid
Giiwo;kks
Gikyode;acd
Gilaki;glk
Gilbertese;gil
Gilima;gix
Gimi (Goroka);gim
Gimme;kmp
Gimnime;gmn
Ginuman;gnm
Ginyanga;ayg
Girawa;bbr
Giryama;nyf
Githabul;gih
Gitonga;toh
Gitua;ggt
Gitxsan;git
Giyug;giy
Gizrra;tof
Glaro-Twabo;glr
Glavda;glw
Glio-Oubi;oub
Glosa;igs
Gnau;gnu
Goa'uld;art-gld
Goaria;gig
Gobasi;goi
Gobu;gox
Godié;god
Godoberi;gdo
Godwari;gdx
Goemai;ank
Gofa;gof
Gogo;gog
Gogodala;ggw
Goguryeo;zkg
Gojri;gju
Gokana;gkn
Gola;gol
Golin;gvf
Golpa;lja
Gondi;gon
Gone Dau;goo
Gong;ugo
Gongduk;goe
Gonja;gjn
Goo;gov
Gooniyandi;gni
Gor;gqr
Gorakor;goc
Gorap;goq
Goreng;xgg
Gorontalo;gor
Gorovu;grq
Gorowa;gow
Gothic;got
Goundo;goy
Gourmanchéma;gux
Gowlan;goj
Gowli;gok
Gowro;gwf
Gozarkhani;goz
Grangali;nli
Grass Koiari;kbk
Grebo;grb
Greek Sign Language;gss
Greek;el
Green Gelao;giq
Green Hmong;hnj
Greenlandic Eskimo Pidgin;crp-gep
Greenlandic;kl
Grenadian Creole English;gcl
Gresi;grs
Groma;gro
Gros Ventre;ats
Guébie;gie
Gua;gwx
Guahibo;guh
Guajá;gvj
Guajajára;gub
Guambiano;gum
Guanano;gvc
Guanche;gnc
Guanyinqiao;jiq
Guaraní;gn
Guarayu;gyr
Guató;gta
Guatemalan Sign Language;gsm
Guayabero;guo
Gudang;xgd
Gudanji;nji
Gude;gde
Gudu;gdu
Guduf-Gava;gdf
Guernésiais;roa-grn
Guerrero Amuzgo;amu
Guerrero Nahuatl;ngu
Guevea de Humboldt Zapotec;zpg
Guevea De Humboldt Zapotec;zpg
Gugadj;ggd
Gugu-Mini;ggm
Gugu Badhun;gdc
Gugu Warra;wrw
Gugubera;kkp
Guhu-Samane;ghs
Guianese Creole;gcr
Guibei Zhuang;zgb
Guiberoua Bété;bet
Guiberoua Béte;bet
Guibian Zhuang;zgn
Guinea-Bissau Creole;pov
Guinea Kpelle;gkp
Guinean Sign Language;gus
Guiqiong;gqi
Gujarati;gu
Gula'alaa;gmb
Gulay;gvl
Gule;gly
Gulf Arabic;afb
Guliguli;gli
Gullah;gul
Gumalu;gmu
Gumatj;gnn
Gumawana;gvs
Gumuz;guk
Gun;guw
Gundi;gdi
Gunditjmara;gjm
Gundungurra;xrd
Gungabula;gyf
Gungu;rub
Guntai;gnt
Gunu;yas
Gunwinggu;gup
Gunya;gyy
Gupa-Abawa;gpa
Gupapuyngu;guf
Gur Lama;las
Guragone;gge
Guramalum;grz
Gurani;hac
Gurdjar;gdj
Gureng Gureng;gnr
Gurgula;ggg
Guriaso;grx
Gurindji Kriol;gjr
Gurindji;gue
Gurmana;gvm
Guro;goa
Guruntum;grd
Gusan;gsn
Gusii;guz
Gusilay;gsl
Gutnish;gmq-gut
Guugu Yimidhirr;kky
Guwa;xgw
Guwamu;gwu
Guwinmal;xgm
Guya;gka
Guyanese Creole English;gyn
Guyani;gvy
Gvoko;ngs
Gwa;gwb
Gwahatike;dah
Gwamhi-Wuri;bga
Gwandara;gwn
Gweda;grw
Gweno;gwe
Gwere;gwr
Gwich'in;gwi
Gyele;gyi
Gyem;gye
Hértevin;hrt
Hõne;juh
Hän;haa
Ha;haq
Habu;hbu
Hadiyya;hdy
Hadothi;hoj
Hadrami Arabic;ayh
Hadrami;xhd
Hadza;hts
Haeke;aek
Hahon;hah
Haiǁom;hgm
Haida;hai
Haigwai;hgw
Hainanese;hnm
Hainyaxo Bozo;bzx
Haiphong Sign Language;haf
Haisla;has
Haitian Creole;ht
Haitian Vodoun Culture Language;hvc
Haji;hji
Hajong;haj
Hakö;hao
Hakka;hak
Halang Doan;hld
Halang;hal
Halbi;hlb
Halia;hla
Halkomelem;hur
Hamap;hmu
Hamba;hba
Hamer-Banna;amf
Hamtai;hmt
Han;haa
Hanga Hundi;wos
Hanga;hag
Hangaza;han
Hani;hni
Hano;lml
Hanoi Sign Language;hab
Hanunoo;hnn
Harami;xha
Harari;har
Harijan Kinnauri;kjo
Haroi;hro
Harsusi;hss
Haruai;tmd
Haruku;hrk
Haryanvi;bgc
Harzani;hrz
Hasha;ybj
Hassaniya Arabic;mey
Hassaniya;mey
Hatam;had
Hattic;xht
Hausa Sign Language;hsl
Hausa;ha
Havasupai-Walapai-Yavapai;yuf
Haveke;hvk
Havu;hav
Hawai'i Pidgin Sign Language;hps
Hawaiian Creole;hwc
Hawaiian;haw
Haya;hay
Hazaragi;haz
Hdi;xed
Hebrew;he
Hehe;heh
Heiban;hbn
Heiltsuk;hei
Helambu Sherpa;scp
Helong;heg
Hema;nix
Hemba;hem
Herdé;hed
Herero;hz
Hermit;llf
Hernican;xhr
Hewa;ham
Heyo;auk
Hibito;hib
Hidatsa;hid
Higaonon;mba
Highland Konjo;kjk
Highland Oaxaca Chontal;chd
Highland Popoluca;poi
Highland Puebla Nahuatl;azz
Highland Totonac;tos
Hijazi Arabic;acw
Hijuk;hij
Hiligaynon;hil
Hill Maria;mrr
Himarimã;hir
Hindi Dogri;dgo
Hindi;hi
Hinduri;hii
Hinukh;gin
Hiri Motu;ho
Hittite;hit
Hitu;htu
Hiw;hiw
Hixkaryána;hix
Hixkaryana;hix
Hlai;lic
Hlepho Phowa;yhl
Hlersu;hle
Hmar;hmr
Hmong Dô;hmv
Hmong Daw;mww
Hmong Don;hmf
Hmong Njua;hnj
Hmong Shua;hmz
Hmong;hmn
Hmwaveke;mrk
Ho Chi Minh City Sign Language;hos
Ho;hoc
Hoava;hoa
Hobyót;hoh
Hoia Hoia;hhi
Holikachuk;hoi
Holiya;hoy
Holma;hod
Holoholo;hoo
Holu;hol
Homa;hom
Honduran Lenca;len
Honduras Sign Language;hds
Hone;juh
Hong Kong Sign Language;hks
Honi;how
Hopi;hop
Horned Miao;hrm
Horo;hor
Horom;hoe
Horpa;ero
Horuru;hrr
Hote;hot
Hoti;hti
Hovongan;hov
Hoyahoya;hhy
Hozo;hoz
Hpon;hpo
Hrê;hre
Hrangkhol;hra
Hre;hre
Hruso;hru
Hu;huo
Huachipaeri;hug
Huambisa;hub
Huaorani;auc
Huarijio;var
Huaulu;hud
Huautla Mazatec;mau
Huave;huv
Huaxcaleca Nahuatl;nhq
Huba;hbb
Huehuetla Tepehua;tee
Huichol;hch
Huilliche;huh
Huitepec Mixtec;mxs
Huizhou;czh
Hukumina;huw
Hula;hul
Hulaulá;huy
Huli;hui
Hulung;huk
Humburi Senni Songhay;hmb
Humene;huf
Humla;hut
Hun-Saare;dud
Hun;uth
Hunde;hke
Hung;hnu
Hungana;hum
Hungarian Sign Language;hsh
Hungarian;hu
Hungworo;nat
Hunjara-Kaina Ke;hkk
Hunnic;xhc
Hunsrik;hrx
Hunzib;huz
Hupa;hup
Hupdë;jup
Hupla;hap
Hurrian;xhu
Hutterisch;geh
Hwana;hwo
Hya;hya
Hyam;jab
I-Wak;iwk
Iñapari;inp
Iaai;iai
Iamalele;yml
Iapama;iap
Iatmul;ian
Iau;tmu
Ibali Teke;tek
Ibaloi;ibl
Iban;iba
Ibanag;ibg
Ibani;iby
Ibatan;ivb
Iberian;xib
Ibibio;ibb
Ibilo;ibi
Ibino;ibn
Iboko;bkp
Ibu;ibu
Ibuoro;ibr
Icelandic Sign Language;icl
Icelandic;is
Iceve-Maci;bec
Ida'an;dbj
Idakho-Isukha-Tiriki;ida
Idaté;idt
Idere;ide
Idesa;ids
Idi;idi
Ido;io
Idoma;idu
Idon;idc
Idu-Mishmi;clk
Idu;clk
Idun;ldb
Iduna;viv
Ifè;ife
Ifo;iff
Igala;igl
Igana;igg
Igbo;ig
Igede;ige
Ignaciano;ign
Igo;ahl
Iguta;nar
Igwe;igw
Iha Based Pidgin;ihb
Iha;ihp
Ihievbe;ihi
Ija-Zuba;vki
Ik;ikx
Ika;ikk
Ikizu;ikz
Iko;iki
Ikobi-Mena;meb
Ikoma;ntk
Ikpeng;txi
Ikpeshi;ikp
Ikposo;kpo
Iku-Gora-Ankwa;ikv
Ikulu;ikl
Ikwere;ikw
Ikwo;iqw
Ila;ilb
Ile Ape;ila
Ilgar;ilg
Ili'uun;ilu
Ili Turki;ili
Ilianen Manobo;mbi
Illyrian;xil
Ilocano;ilo
Ilongot;ilk
Ilue;ilv
Ilwana;mlk
Imbongu;imo
Imeraguen;ime
Imonda;imn
Imroing;imr
Inabaknon;abx
Inapang;mzu
Inari Sami;smn
Indian Sign Language;ins
Indo-Portuguese;idb
Indonesian Bajau;bdl
Indonesian Sign Language;inl
Indonesian;id
Indri;idr
Indus Kohistani;mvy
Indus Valley Language;xiv
Inebu One;oin
Ineseño;inz
Inga;inb
Ingrian;izh
Ingush;inh
Inlaod Itneg;iti
Inoke-Yate;ino
Inonhan;loc
Inor;ior
Inpui Naga;nkf
Interlingua;ia
Interlingue;ie
International Sign;ils
Interslavic;isv
Intha;int
Inuit Sign Language;iks
Inuktitut;iu
Inupiak;ik
Inuvialuktun;ikt
Ipalapa Amuzgo;azm
Ipiko;ipo
Ipili;ipi
Ipulo;ass
Iquito;iqu
Ir;irr
Irántxe;irn
Iranun;ill
Iraqi Arabic;acm
Iraqw;irk
Irarutu;irh
Iraya;iry
Iresim;ire
Iriga Bicolano;bto
Irigwe;iri
Irish Sign Language;isg
Irish;ga
Irula;iru
Isabi;isa
Isan;tts
Isanzu;isn
Isarog Agta;agk
Isconahua;isc
Isebe;igo
Isekiri;its
Ishkashimi;isk
Isinai;inn
Isirawa;srl
Island Carib;crb
Islander Creole English;icr
Isnag;isd
Isoko;iso
Israeli Sign Language;isr
Isthmus-Cosoleacaque Nahuatl;nhk
Isthmus-Mecayapan Nahuatl;nhx
Isthmus-Pajapan Nahuatl;nhp
Isthmus Mixe;mir
Isthmus Zapotec;zai
Istriot;ist
Istro-Romanian;ruo
Isu;isu
Isubu;szv
Italian Sign Language;ise
Italian;it
Itawit;itv
Itelmen;itl
Itene;ite
Iteri;itr
Itik;itx
Ito;itw
Itonama;ito
Itsekiri;its
Itu Mbon Uzo;itm
Itundujia Mixtec;mce
Itzá;itz
Itza';itz
Iu Mien;ium
Ivatan;ivv
Ivbie North-Okpela-Arhe;atg
Iwaidja;ibd
Iwal;kbm
Iwam;iwm
Iwur;iwo
Ixcatec;ixc
Ixcatlán Mazatec;mzi
Ixil;ixl
Ixtayutla Mixtec;vmj
Ixtenco Otomi;otz
Iyayu;iya
Iyive;uiv
Iyo'wujwa Chorote;crq
Iyo;nca
Iyojwa'ja Chorote;crt
Izere;izr
Izi-Ezaa-Ikwo-Mgbo;izi
Izi;izz
Izon;ijc
Izora;cbo
Jèrriais;roa-jer
Júma;jua
Jabem;jae
Jabutí;jbt
Jad;jda
Jadgali;jdg
Jah Hut;jah
Jahanka;jad
Jaimatang;xjt
Jair Awyu;awv
Jakaltek;jac
Jakati;jat
Jakun;jak
Jalapa de Díaz Mazatec;maj
Jalapa De Díaz Mazatec;maj
Jalkunan;bxl
Jamaican Country Sign Language;jcs
Jamaican Creole;jam
Jamaican Sign Language;jls
Jamamadí;jaa
Jambi Malay;jax
Jamiltepec Mixtec;mxt
Jaminjung;djd
Jamsay Dogon;djm
Jamsay;djm
Jandavra;jnd
Janday;jan
Jangkang;djo
Jangshung;jna
Janji;jni
Japanese Sign Language;jsl
Japanese;ja
Japrería;jru
Jaqaru;jqr
Jara;jaf
Jarai;jra
Jarawa;anq
Jaru;ddj
Jassic;ysc
Jaunsari;jns
Javanese;jv
Javindo;jvd
Jawe;jaz
Jaya;jyy
Jebero;jeb
Jeh;jeh
Jehai;jhi
Jeju;jje
Jemez;tow
Jenaama Bozo;bze
Jeng;jeg
Jennu Kurumba;xuj
Jere;jer
Jeri Kuo;jek
Jersey Dutch;gmw-jdt
Jeru;akj
Jerung;jee
Jhankot Sign Language;jhs
Jiamao;jio
Jiarong;jya
Jiba;juo
Jibu;jib
