'Are'are;alu
Limburgish;li
Limos Kalinga;kmk
Lindu;klw
Lingala;ln
Lingao;onb
Lingua Franca Nova;lfn
Linngithigh;lnj
Lipan;apl
Lipo;lpo
Lisela;lcl
Lishana Deni;lsd
Lishanid Noshan;aij
Lisu;lis
Literary Chinese;lzh
Lithuanian;lt
Litzlitz;lzl
Livonian;liv
Livvi;olo
Lo-Toga;lht
Logba;lgq
Logooli;rag
Lojban;jbo
Lokaa;yaz
Loko;lok
Lokono;arw
Lola;lcd
Lolo;llb
Loloda;loa
Lolopo;ycl
Loma;lom
Lomaiviti;lmv
Lomavren;rmi
Lombard;lmo
Lomwe;ngl
Longto;wok
Longuda;lnu
Loniu;los
Lonwolwol;crc
Lorediakarkar;lnn
Lote;uvl
Lotud;dtr
Lou;loj
Louisiana Creole;lou
Loun;lox
Loup A;xlo
Loup B;xlb
Lovono;vnk
Low German;nds
Lower Chehalis;cea
Lower Grand Valley Dani;dni
Lower Nossob;nsb
Lower Sorbian;dsb
Lower Southern Aranda;axl
Lower Tanana;taa
Lowland Oaxaca Chontal;clo
Lowland Tarahumara;tac
Loxicha Zapotec;ztp
Lozi;loz
Luang;lex
Luba-Kasai;lua
Luba-Katanga;lu
Lubila;kcc
Lubuagan Kalinga;knb
Lucumí;luq
Ludian;lud
Lufu;ldq
Luganda;lg
Luguru;ruf
Luhu;lcq
Luhya;luy
Luiseño;lui
Lukpa;dop
Lule Sami;smj
Lumba-Yakkha;luu
Lun Bawang;lnd
Lunanakha;luk
Lunda;lun
Lungga;lga
Luo;luo
Lushootseed;lut
Lusi;khl
Lusitanian;xls
Lutos;ndy
Lutuv;clt
Luvale;lue
Luwati;luv
Luwian;xlu
Luwo;lwo
Luxembourgish;lb
Lwel;lvl
Lycian;xlc
Lydian;xld
Mündü;muh
Mòcheno;mhn
Ma'anyan;mhy
Ma;msj
Maaka;mew
Maasai;mas
Maay;ymm
Maca;mca
Macaguán;mbn
Macaguaje;mcl
Macanese;mzs
Macedonian;mk
Machame;jmc
Machiguenga;mcb
Machinere;mpd
Macuna;myy
Macushi;mbc
Mada (Cameroon);mxu
Mada (Nigeria);mda
Madak;mmx
Madhi Madhi;dmd
Madi;grg
Madngele;zml
Madurese;mad
Mafa;maf
Mag-Anchi Ayta;sgb
Mag-Indi Ayta;blx
Magɨ;gkd
Magahi;mag
Magdalena Peñasco Mixtec;xtm
Magiyi;gmg
Magori;zgr
Maguindanao;mdh
Mahasu Pahari;bfz
Mahican;mjy
Maia;sks
Maiadomu;mzz
Maiani;tnh
Maii;mmm
Maindo;cwb
Mairasi;zrs
Maithili;mai
Maiwa (Indonesia);wmm
Maiwa (New Guinea);mti
Maiwala;mum
Majera;xmj
Mak (Nigeria);pbl
Makah;myh
Makalero;mjb
Makasae;mkz
Makasar;mak
Makassar Malay;mfp
Makayam;aup
Makhuwa-Marrevone;xmc
Makhuwa-Meetto;mgh
Makhuwa-Saka;xsq
Makhuwa-Shirima;vmk
Makhuwa;vmw
Makolkol;zmh
Makonde;kde
Makuráp;mpu
Mal Paharia;mkb
Maléku Jaíka;gut
Mala (New Guinea);ped
Malaccan Creole Malay;ccm
Malagasy;mg
Malalamai;mmt
Malango;mln
Malasanga;mqz
Malavedan;mjr
Malawi Lomwe;lon
Malay;ms
Malayalam;ml
Malba Birifor;bfo
Malecite-Passamaquoddy;pqm
Malfaxal;mlx
Malgana;vml
Mali;gcc
Malila;mgq
Malinaltepec Tlapanec;tcf
Malol;mbk
Maltese;mt
Malua Bay;mll
Malvi;mup
Mam;mam
Mamaa;mhf
Mamaindé;wmd
Mamanwa;mmn
Mamara Senoufo;myk
Mamasa;mqj
Mambae;mgm
Mambwe-Lungu;mgr
Mampruli;maw
Mamuju;mqx
Mamulique;emm
Mamusi;kdf
Manado Malay;xmm
Manam;mva
Manambu;mle
Manangba;nmm
Manangkari;znk
Manchu;mnc
Manda (Australia);zma
Manda (India);mha
Mandaic;mid
Mandailing Batak;btm
Mandan;mhq
Mandandanyi;zmk
Mandar;mdr
Mandara;tbf
Mandarin;cmn
Mandeali;mjl
Mandingo;man
Mandinka;mnk
Mandobo Atas;aax
Mandobo Bawah;bwp
Mangarevan;mrv
Mangas;zns
Mangga Buang;mmo
Manggarai;mqy
Mango;mge
Mangole;mqc
Mangseng;mbh
Manigri-Kambolé Ede Nago;xkb
Manipa;mqp
Manipuri;mni
Mannan;mjv
Mano;mev
Manombai;woo
Mansaka;msk
Manta;myg
Manumanaw Karen;kxf
Manus Koro;kxr
Manx;gv
Manyawa;mny
Mao Naga;nbi
Maonan;mmd
Maore Comorian;swb
Maori;mi
Mapia;mpy
Mapidian;mpw
Mapos Buang;bzh
Mapoyo;mcg
Mapudungun;arn
Mapun;sjm
Marúbo;mzr
Mara Chin;mrh
Maraghei;vmh
Maragus;mrs
Marama;lrm
Maranao;mrw
Maranungku;zmr
Marathi;mr
Marau;mvr
Marenje;vmr
Margany;zmc
Margi;mrt
Maricopa;mrc
Maridan;zmd
Maridjabin;zmj
Marik;dad
Marimanindji;zmm
Maringarr;zmt
Maritsauá;msp
Mariyedi;zmy
Marka;rkm
Markweeta;enb
Marma;rmz
Marovo;mvo
Marrithiyel;mfr
Marrucinian;umc
Marshallese;mh
Marsian;ims
Martha's Vineyard Sign Language;mre
Marti Ke;zmg
Martu Wangka;mpj
Martuthunira;vma
Marwari;mwr
Masaba;myx
Masbate Sorsogon;bks
Masbatenyo;msb
Mashco Piro;cuj
Mashi;mho
Masimasi;ism
Masiwang;bnf
Maskelynes;klv
Massachusett;wam
Matís;mpq
Matal;mfh
Matengo;mgv
Matigsalug Manobo;mbt
Matipuhy;mzo
Matlatzinca;mat
Mato;met
Mator;mtm
Matsés;mcf
Mattole;mvb
Matukar;mjk
Matumbi;mgw
Matya Samo;stj
Maung;mph
Mauritian Creole;mfe
Mav̋ea;mkv
Mawa;mcw
Maxakalí;mbl
Maya Samo;sym
Mayangna;yan
Mayawali;yxa
Maybrat;ayz
Mayi-Thakurti;xyt
Maykulan;mnt
Mayo;mfy
Mayogo;mdm
Mayoyao Ifugao;ifu
Mazagway;dkx
Mazaltepec Zapotec;zpy
Mazanderani;mzn
Mazatlán Mazatec;vmz
Mba;mfc
Mbabaram;vmb
Mbandja;zmz
Mbangi;mgn
Mbangwe;zmn
Mbariman-Gudhinma;zmv
Mbato;gwa
Mbay;myb
Mbe';mtk
Mbe;mfo
Mbesa;zms
Mbo (Cameroon);mbo
Mbo (Congo);zmw
Mbonga;xmb
Mbongno;bgu
Mbu';muc
Mbudum;xmd
Mbugu;mhd
Mbuko;mqb
Mbula-Bwazza;mbu
Mbula;mna
Mbule;mlb
Mbulungish;mbv
Mbunda;mck
Mburku;bbt
Mbuun;zmp
Mbwela;mfu
Mbyá Guaraní;gun
Meänkieli;fit
Mecayapan Nahuatl;nhx
Medebur;mjm
Medefaidrin;dmf
Media Lengua;mue
Mednyj Aleut;mud
Medumba;byv
Megleno-Romanian;ruq
Mehek;nux
Mehináku;mmh
Mehri;gdq
Mekéns;skf
Mekwei;msf
Mele-Fila;mxe
Memoni;mby
Mendankwe-Nkwen;mfd
Mende;men
Mengaka;xmg
Mengisa;leo
Menka;mea
Menominee;mez
Mentawai;mwv
Meoswar;mvx
Meramera;mxm
Merei;lmb
Merey;meq
Meriam;ulk
Meroitic;xmr
Meru;mer
Mesaka;iyo
Mesme;zim
Messapic;cms
Meta';mgo
Metlatónoc Mixtec;mxv
Mewari;mtr
Mewati;wtm
Mexican Sign Language;mfs
Mezontla Popoloca;pbe
Mezquital Otomi;ote
Mfinu;zmf
Mfumte;nfu
Mgbo;gmz
Mi'kmaq;mic
Miami;mia
Mian;mpt
Micha;yiq
Michif;crg
Michigamea;cmm
Michoacán Mazahua;mmc
Michoacán Nahuatl;ncl
Mid-Southern Banda;bjo
Mid Grand Valley Dani;dnt
Middle Armenian;axm
Middle Breton;xbm
Middle Chinese;ltc
Middle Cornish;cnx
Middle Dutch;dum
Middle English;enm
Middle French;frm
Middle High German;gmh
Middle Irish;mga
Middle Khmer;xhm
Middle Korean;okm
Middle Low German;gml
Middle Mongol;xng
Middle Newar;nwx
Middle Persian;pal
Middle Watut;mpl
Middle Welsh;wlm
Midob;mei
Migaama;mmy
Miju;mxj
Mikasuki;mik
Miluk;iml
Milyan;imy
Min Nan;nan
Minaean;inm
Minangkabau;min
Minaveha;mvn
Minderico;drc
Mindiri;mpn
Mingrelian;xmf
Minica Huitoto;hto
Minidien;wii
Minigir;vmg
Minjungbal;xjb
Mirandese;mwl
Miraya Bikol;rbl
Miriti;mmv
Miriwung;mep
Misantla Totonac;tlc
Miship;mjs
Misima-Paneati;mpx
Mising;mrg
Miskito;miq
Mitla Zapotec;zaw
Mitlatongo Mixtec;vmm
Mittu;mwu
Mituku;zmq
Miu;mpo
Mixed Great Andamanese;gac
Mixtepec Mixtec;mix
Mixtepec Zapotec;zpm
Miya;mkf
Miyako;mvi
Miyobe;soy
Mizo;lus
Mlahsö;lhs
Mmaala;mmu
Mmani;buy
Mmen;bfm
Mo'da;gbn
Mo;wkd
Moabite;obm
Moba;mfq
Mobilian;mod
Mobumrin Aizi;ahm
Mochi;old
Mochica;omc
Mocoví;moc
Modang;mxd
Mofu-Gudur;mif
Mogholi;mhj
Mogum;mou
Mohawk;moh
Mohegan-Pequot;xpq
Moi (Congo);mow
Mojave;mov
Mokerang;mft
Mokilese;mkj
Mokole;mkl
Mokpwe;bri
Moksha;mdf
Molale;mbe
Molbog;pwm
Molengue;bxc
Molima;mox
Molmo One;aun
Molo;zmo
Moloko;mlw
Mombo Dogon;dmb
Mon;mnw
Mondé;mnd
Mongo;lol
Mongol;mgt
Mongolian;mn
Mongondow;mog
Mono (California);mnr
Mono (Cameroon);mru
Mono (Congo);mnh
Montagnais;moe
Montana Salish;fla
Montol;mtl
Monzombo;moj
Moo;gwg
Moore;mos
Moose Cree;crm
Mopan Maya;mop
Mor (Austronesian);mhz
Morelos Nahuatl;nhm
Morerebi;xmo
Mori Bawah;xmz
Moro;mor
Moroccan Amazigh;zgh
Moroccan Arabic;ary
Morokodo;mgc
Morom;bdo
Moronene;mqn
Morouas;mrp
Mortlockese;mrl
Mosimo;mqv
Mota;mtt
Motu;meu
Mouk-Aria;mwh
Mount Iraya Agta;atl
Mount Iriga Agta;agz
Mouwase;jmw
Mozarabic;mxi
Mpade;mpi
Mpoto;mpa
Mpotovoro;mvt
Mpur;akc
Mru;mro
Mạ;cma
Muak Sa-aak;ukk
Mualang;mtd
Mubi;mub
Mudburra;dmw
Mudu Koraga;vmd
Muduapa;wiv
Muduga;udg
Mufian;aoj
Muinane;bmr
Mulam;mlm
Mumuye;mzm
Muna;mnb
Munda;unx
Mundabli;boe
Mundani;mnf
Mundari;unr
Mundat;mmf
Mundurukú;myu
Mungaka;mhk
Mungbam;mij
Munggui;mth
Mungkip;mpv
Munji;mnj
Munsee;umu
Muong;mtq
Mur Pano;tkv
Muratayak;asx
Murik (New Guinea);mtf
Murrinh-Patha;mwf
Murui Huitoto;huu
Murupi;mqw
Muruwari;zmu
Musasa;smm
Musgu;mug
Musi;mui
Musom;msu
Mussau-Emira;emi
Mutu;tuc
Muyang;muy
Muyuw;myw
Mvanip;mcj
Mvuba;mxh
Mwaghavul;sur
Mwali Comorian;wlc
Mwan;moa
Mwani;wmw
Mwatebu;mwa
Mwera;mwe
Mwerlap;mrm
Mwimbi-Muthambi;mws
Mwotlap;mlv
Mycenaean Greek;gmy
Myene;mye
N'Ko;nqo
Nüpode Huitoto;hux
Nùng;nut
Nǀuu;ngh
Na;nbt
Naaba;nao
Nabak;naf
Nabi;mty
Nachering;ncd
Nadëb;mbj
Nafaanra;nfr
Nafri;nxx
Naga Pidgin;nag
Nagu;ngr
Nahavaq;sns
Nahuatl;nah
Nai;bio
Najdi Arabic;ars
Naka'ela;nae
Nakai;nkj
Nakame;nib
Nakanai;nak
Nakara;nck
Nake;nbk
Naki;mff
Nakwi;nax
Nalögo;nlz
Nalca;nlc
Nalik;nal
Nalu;naj
Namakura;nmk
Nambikwara;nab
Nambya;nmq
Namia;nnm
Namibian Sign Language;nbs
Namla;naa
Namosi-Naitasiri-Serua;bwb
Namuyi;nmy
Nanai;gld
Nancere;nnc
Nande;nnb
Nandi;niq
Nanga Dama Dogon;nzz
Nankina;nnk
Nanti;cox
Nanticoke;nnt
Nanubae;afk
Narak;nac
Narango;nrg
Narau;nxu
Naro;nhr
Narom;nrm
Narragansett;xnt
Narua;nru
Narungga;nnr
Nasarian;nvh
Nasioi;nas
Naskapi;nsk
Nasu;ywq
Natügu;ntu
Nateni;ntm
Naukanski;ynk
Nauna;ncn
Nauo;nwo
Nauruan;na
Navajo;nv
Navut;nsw
Nawathinehena;nwa
Nawdm;nmz
Nawuri;naw
Naxi;nxq
Ncane;ncr
Nchumbulu;nlu
Nda'nda';nnz
Ndaka;ndk
Ndali;ndh
Ndam;ndm
Ndamba;ndj
Ndambomo;nxo
Ndasa;nda
Ndau;ndc
Nde-Nsele-Nta;ndd
Ndemli;nml
Ndendeule;dne
Ndengereko;ndg
Nding;eli
Ndjébbana;djj
Ndo;ndp
Ndobo;ndw
Ndoe;nbb
Ndogo;ndz
Ndolo;ndl
Ndom;nqm
Ndombe;ndq
Ndonga;ng
Ndoola;ndr
Ndumu;nmd
Ndunda;nuh
Ndunga;ndt
Ndut;ndv
Ndyuka-Trio Pidgin;njt
Ndzwani Comorian;wni
Neapolitan;nap
Negerhollands;dcr
Negeri Sembilan Malay;zmi
Negidal;neg
Nehan;nsn
Nek;nif
Nekgini;nkg
Neko;nej
Nemi;nem
Nend;anh
Nengone;nen
Neo;neu
Nepali Kurux;kxl
Nepali;ne
Neve'ei;vnm
Neverver;lgk
New Caledonian Javanese;jas
Newar;new
Nez Perce;nez
Ngäbere;gym
Ngaanyatjarra;ntj
Ngadha;nxg
Ngadjuri;jui
Ngaing;nnf
Ngaju;nij
Ngala;nud
Ngalakan;nig
Ngalkbun;ngk
Ngalum;szb
Ngam;nmc
Ngamambo;nbv
Ngambay;sba
Ngamini;nmv
Ngamo;nbh
Ngan'gityemerri;nam
Nganasan;nio
Ngandi;nid
Ngandyera;nne
Nganyaywana;nyx
Ngarinyin;ung
Ngarla;nrk
Ngarluma;nrl
Ngarrindjeri;nay
Ngas;anc
Ngatik Men's Creole;ngm
Ngawun;nxn
Ngazidja Comorian;zdj
Ngbaka Ma'bo;nbm
Ngbaka Manza;ngg
Ngbaka;nga
Ngbinda;nbd
Ngbundu;nuu
Ngelima;agh
Ngemba;nge
Ngen of Djonkro;gnj
Ngendelengo;nql
Ngete;nnn
Nggem;nbq
Nggwahyi;ngx
Ngie;ngj
Ngiemboon;nnh
Ngindo;nnq
Ngiyambaa;wyb
Ngizim;ngi
Ngom;nra
Ngomba;jgo
Ngombale;nla
Ngongo;noq
Ngoni;ngo
Ngoreme;ngq
Ngoshie;nsh
Nguôn;nuo
Ngul;nlo
Ngulu;ngp
Ngunawal;xul
Ngundi;ndn
Ngundu;nue
Ngungwel;ngz
Ngwaba;ngw
Ngwe;nwe
Ngwo;ngn
Nhanda;nha
Nheengatu;yrl
Nhuwala;nhf
Nias;nia
Nicaraguan Creole;bzk
Nicaraguan Sign Language;ncs
Nigeria Mambila;mzk
Nigerian Pidgin;pcm
Nihali;nll
Nii;nii
Niksek;gbe
Nilamba;nim
Nimadi;noe
Nimi;nis
Ninam;shb
Nindi;nxi
Ningera;nby
Ninggerum;nxr
Nisenan;nsz
Nisga'a;ncg
Niuafo'ou;num
Niuean;niu
Nivaclé;cag
Nivkh;niv
Niwer Mil;hrc
Njebi;nzb
Njen;njj
Njerep;njr
Njyem;njy
Nkami;nkq
Nkangala;nkn
Nkari;nkz
Nkem-Nkum;isi
Nkongho;nkc
Nkonya;nko
Nkoya;nka
Nkukoli;nbo
Nkutu;nkw
Nnam;nbp
Nobiin;fia
Nobonob;gaw
Nocamán;nom
Nogai;nog
Nokuku;nkk
Nomaande;lem
Nomatsiguenga;not
Nomlaki;nol
Nong Zhuang;zhn
Nonuya;noj
Noon;snf
Noone;nhu
Nootka;nuk
Nopala Chatino;cya
Noric;nrc
Norman;nrf
Norn;nrn
North Ambrym;mmg
North Babar;bcd
North Boma;boh
North Efate;llp
North Fali;fll
North Frisian;frr
North Levantine Arabic;apc
North Marquesan;mrq
North Mesopotamian Arabic;ayp
North Mofu;mfk
North Moluccan Malay;max
North Muyu;kti
North Slavey;scs
North Tanna;tnn
North Watut;una
Northeast Maidu;nmu
Northeast Malakula;upv
Northeast Pashayi;aee
Northeastern Dinka;dip
Northeastern Pomo;pef
Northern Alta;aqn
Northern Altai;atv
Northern Amami Ōshima;ryn
Northern Bontoc;rbk
Northern Catanduanes Bicolano;cts
Northern Dagara;dgi
Northern East Cree;crl
Northern Emberá;emp
Northern Ghale;ghh
Northern Grebo;gbo
Northern Haida;hdn
Northern Hindko;hno
Northern Kam;doc
Northern Kankanay;xnn
Northern Khmer;kxm
Northern Kurdish;kmr
Northern Luri;lrc
Northern Min;mnp
Northern Ndebele;nd
Northern Ngbandi;ngb
Northern Nuni;nuv
Northern Oaxaca Nahuatl;nhy
Northern Ohlone;cst
Northern One;onr
Northern Paiute;pao
Northern Pame;pmq
Northern Pinghua;cnp
Northern Pomo;pej
Northern Puebla Nahuatl;ncj
Northern Pwo;pww
Northern Qiandong Miao;hea
Northern Qiang;cng
Northern Roglai;rog
Northern Saharan Berber;mzb
Northern Sami;se
Northern Sierra Miwok;nsq
Northern Sotho;nso
Northern Subanen;stb
Northern Tarahumara;thh
Northern Tepehuan;ntp
Northern Thai;nod
Northern Tlaxiaco Mixtec;xtn
Northern Tutchone;ttm
Northern Yukaghir;ykg
Northwest Gbaya;gya
Northwest Maidu;mjd
Northwest Oaxaca Mixtec;mxa
Northwest Pashayi;glh
Northwestern Dinka;diw
Northwestern Ojibwa;ojb
Northwestern Tamang;tmk
Norwegian Bokmål;nb
Norwegian Nynorsk;nn
Norwegian;no
Notre;bly
Notsi;ncf
Nottoway-Meherrin;nwy
Nottoway;ntw
Novial;nov
Nsari;asj
Nsenga;nse
Nshi;nsc
Nsong;soo
Nsongo;nsx
Ntcham;bud
Ntomba;nto
Ntra'ngith;dgt
Nubaca;baf
Nubi;kcn
Nuer;nus
Nuguria;nur
Nuk;noc
Nukak Makú;mbr
Nukna;klt
Nukuoro;nkr
Numèè;kdk
Numana;nbr
Numanggang;nop
Nume;tgs
Numidian;nxm
Nungu;rin
Nupe;nup
Nyah Kur;cbn
Nyakyusa;nyy
Nyali;nlj
Nyam;nmi
Nyamal;nly
Nyambo;now
Nyamwezi;nym
Nyaneka;nyk
Nyanga-li;nyc
Nyanga (Congo);nyj
Nyanga (Togo);ayg
Nyangbo;nyb
Nyangga;nny
Nyankole;nyn
Nyaturu;rim
Nyaw;nyw
Nyelâyu;yly
Nyemba;nba
Nyengo;nye
Nyenkha;neh
Nyigina;nyh
Nyiha;nih
Nyika;nkt
Nyimang;nyi
Nyindrou;lid
Nyindu;nyg
Nyishi;njz
Nyiyaparli;xny
Nyokon;nvo
Nyole (Kenya);nyd
Nyole (Uganda);nuj
Nyoro;nyo
Nyulnyul;nyv
Nyunga;nys
Nyungwe;nyu
Nzadi;nzd
Nzakambay;nzy
Nzakara;nzk
Nzanyi;nja
O'chi'chi';xoc
O'odham;ood
Obanliku;bzy
Obispeño;obi
Obo Manobo;obo
Obokuitai;afz
Obolo;ann
Obulom;obu
Ocaina;oca
Occitan;oc
Ocotepec Mixtec;mie
Ocotlán Zapotec;zac
Od;odk
Odiai;bhf
Odual;odu
Odut;oda
Ofayé;opy
Ogbah;ogc
Ogbia;ogb
Ogbogolo;ogg
Ogbronuagum;ogu
Ogea;eri
Oirata;oia
Ojibwe;oj
Ojitlán Chinantec;chj
Okanagan;oka
Okiek;oki
Okinawan;ryu
Okinoerabu;okn
Oko-Eni-Osayen;oks
Okobo;okb
Okpamheri;opa
Okpe (Northwestern Edo);okx
Okpe (Southwestern Edo);oke
Okpela;atg
Oksapmin;opm
Oku;oku
Old Armenian;xcl
Old Avar;oav
Old Breton;obt
Old Burmese;obr
Old Chinese;och
Old Church Slavonic;cu
Old Cornish;oco
Old Dutch;odt
Old East Slavic;orv
Old English;ang
Old French;fro
Old Frisian;ofs
Old Georgian;oge
Old High German;goh
Old Hungarian;ohu
Old Irish;sga
Old Japanese;ojp
Old Javanese;kaw
Old Khmer;okz
Old Korean;oko
Old Lithuanian;olt
Old Manipuri;omp
Old Marathi;omr
Old Mon;omx
Old Norse;non
Old Nubian;onw
Old Occitan;pro
Old Persian;peo
Old Prussian;prg
Old Saxon;osx
Old Spanish;osp
Old Sundanese;osn
Old Tamil;oty
Old Tibetan;otb
Old Tupi;tpw
Old Turkic;otk
Old Uyghur;oui
Old Welsh;owl
Olekha;ole
Ollari;gdb
Olo;ong
Oloma;olm
Olrat;olr
Olukumi;ulb
Olulumo-Ikom;iko
Oluta Popoluca;plo
Olutsotso;lto
Omagua;omg
Omaha-Ponca;oma
Omani Arabic;acx
Omba;omb
Ombamba;mbm
Ombo;oml
Ometepec Nahuatl;nht
Omok;omk
Oneida;one
Onin;oni
Onjob;onj
Ono;ons
Onobasulu;onn
Onondaga;ono
Ontong Java;ojv
Opao;opo
Opata;opt
Orejón;ore
Oring;org
Oriya;or
Orizaba Nahuatl;nlv
Ormu;orz
Ormuri;oru
Oro Win;orw
Oro;orx
Oroch;oac
Orok;oaa
Orokaiva;okv
Oroko;bdu
Orokolo;oro
Oromo;om
Oroqen;orh
Orowe;bpk
Oruma;orr
Orya;ury
Osage;osa
Osamayi;syx
Osatu;ost
Oscan;osc
Osing;osi
Ososo;oso
Ossetian;os
Ot Danum;otd
Otank;uta
Ottawa;otw
Ottoman Turkish;ota
Otuke;otu
Ouma;oum
Owa;stn
Owiniga;owi
Oya'oya;oyy
Ozolotepec Zapotec;zao
Ozumacín Chinantec;chz
Pémono;pev
Pökoot;pko
Pááfang;pfa
Pa'o Karen;blk
Pa;ppt
Paamese;pma
Paasaal;sig
Pacahuara;pcp
Pacoh;pac
Padoe;pdo
Paelignian;pgn
Pagi;pgi
Pagibete;pae
Pagu;pgu
Pahanan Agta;apf
Pahari-Potwari;phr
Pahi;lgt
Pai Tavytera;pta
Paicî;pri
Paipai;ppi
Paiwan;pwn
Pajapan Nahuatl;nhp
Pal;abw
Palaic;plq
Palaka Senoufo;plr
Palantla Chinantec;cpa
Palauan;pau
Palawan Batak;bya
Paleni;pnl
Palenquero;pln
Pali;pi
Palikur;plu
Pallanganmiddang;pmd
Palor;fap
Palu'e;ple
Palya Bareli;bpx
Pambia;pmb
Pamlico;pmk
Pamona;pmf
Pamplona Atta;att
Pana (Central Africa);pnz
Pana (West Africa);pnq
Panamint;par
Panare;pbh
Panawa;pwb
Panchpargania;tdb
Pande;bkj
Pangasinan;pag
Pangseng;pgs
Pangutaran Sama;slm
Pangwa;pbr
Pangwali;pgg
Pannonian Rusyn;rsk
Panobo;pno
Panyi Bai;bfc
Panyjima;pnw
Papantla Totonac;top
Papapana;ppn
Papar;dpp
Papasena;pas
Papel;pbo
Papiamentu;pap
Papora;ppu
Papuan Malay;pmy
Papuma;ppm
Pará Arára;aap
Pará Gavião;gvp
Para Naga;pzn
Parachi;prc
Paraguayan Guaraní;gug
Parakanã;pak
Paranawát;paf
Paraujano;pbg
Parauk;prk
Pare;asa
Pareci;pab
Parthian;xpr
Pashto;ps
Pass Valley Yali;yac
Patamona;pbc
Patani;ptn
Patep;ptp
Patpatar;gfk
Pattani Malay;mfa
Patwin;pwi
Paumarí;pad
Paunaka;pnk
Pauri Bareli;bfb
Pauserna;psm
Pawaia;pwa
Pawnee;paw
Pazeh;pzh
Pe;pai
Peñoles Mixtec;mil
Pear;pcb
Pech;pay
Peere;pfe
Pele-Ata;ata
Pemon;aoc
Penchal;pek
Pengo;peg
Pennsylvania German;pdc
Penobscot;aaq
Penrhyn;pnh
Pentlatch;ptw
Peranakan Indonesian;pea
Perema;wom
Persian;fa
Petapa Zapotec;zpe
Petats;pex
Phake;phk
Phalura;phl
Phangduwali;phw
Phende;pem
Phimbi;phm
Phoenician;phn
Phrae Pwo;kjt
Phrygian;xpg
Phu Thai;pht
Piamatsina;ptr
Piapoco;pio
Picard;pcd
Pichinglis;fpe
Pichis Ashéninka;cpu
Pictish;xpi
Pidgin Delaware;dep
Pidgin Iha;ihb
Pidgin Onin;onx
Piedmontese;pms
Pije;piz
Pijin;pis
Pilagá;plg
Pileni;piv
Pima Bajo;pia
Pingelapese;pif
Pinigura;pnv
Pinji;pic
Pinotepa Nacional Mixtec;mio
Pintupi-Luritja;piu
Pinyin;pny
Pipil;ppl
Pirahã;myp
Piratapuyo;pir
Pirlatapa;bxi
Piro;pie
Pisabo;pig
Pitcairn-Norfolk;pih
Pite Sami;sje
Piti;pcn
Pitjantjatjara;pjt
Pitta-Pitta;pit
Plains Apache;apk
Plains Cree;crk
Plains Miwok;pmw
Plautdietsch;pdt
Pnar;pbv
Pochutec;xpo
Podoko;pbi
Pohnpeian;pon
Pokangá;pok
Pol;pmm
Polabian;pox
Polish;pl
Polonombauk;plb
Pom;pmo
Ponam;ncc
Ponosakan;pns
Pontic Greek;pnt
Poqomam;poc
Poqomchi';poh
Port Sandwich;psw
Port Vato;ptv
Portuguese;pt
Potawatomi;pot
Potiguára;pog
Pouye;bye
Powari;pwr
Powhatan;pim
Prakrit;pra
Primitive Irish;pgl
Principense;pre
Pudtol Atta;atp
Puebla Mazatec;pbm
Pukapukan;pkp
Puluwat;puw
Pumpokol;xpm
Punan Bah-Biau;pna
Punic;xpu
Punjabi;pa
Punu;puu
Puoc;puo
Purepecha;pua
Purisimeño;puy
Puroik;suv
Purum;pub
Putoh;put
Putukwam;afe
Puxian Min;cpx
Puyuma;pyu
Pwaamèi;pme
Pwapwâ;pop
Pyu (New Guinea);pby
Q'anjob'al;kjb
Q'eqchi;kek
Qaqet;byx
Qatabanian;xqt
Qimant;ahg
Quapaw;qua
Quebec Sign Language;fcs
Quechua;qu
Quenya;qya
Querétaro Otomi;otq
Quetzaltepec Mixe;pxm
Quiavicuzas Zapotec;zpj
Quileute;qui
Quinault;qun
Quioquitani-Quierí Zapotec;ztq
Quiotepec Chinantec;chq
Quiripi;qyp
Réunion Creole French;rcf
Rabha;rah
Rade;rad
Raetic;xrr
Raga;lml
Rajbanshi;rjs
Rajong;rjg
Rajput Garasia;gra
Rakahanga-Manihiki;rkh
Rakhine;rki
Ralte;ral
Ramandi;tks
Ramoaaina;rai
Rana Tharu;thr
Rao;rao
Rapa Nui;rap
Rarotongan;rar
Rasawa;rac
Ratagnon;btn
Ratahan;rth
Rathwi Bareli;bgd
Raute;rau
Ravula;yea
Rawa;rwo
Rawang;raw
Rayón Zoque;zor
Razajerdi;rat
Razihi;rzh
Reel;atu
Rejang Kayan;ree
Rejang;rej
Rema;bow
Rembarunga;rmb
Rembong;reb
Remo;rem
Remontado Agta;agv
Remun;lkj
Rendille;rel
Rennellese;mnv
Repanbitip;rpn
Rerep;pgk
Resígaro;rgr
Reyesano;rey
Riantana;ran
Ribun;rir
Rigwe;iri
Rikbaktsa;rkb
Rincón Zapotec;zar
Ritarungo;rit
Riung;riu
Riverain Sango;snj
Rohingya;rhg
Romagnol;rgn
Romani;rom
Romanian;ro
Romano-Greek;rge
Romano-Serbian;rsb
Romanova;rmv
Romansch;rm
Romblomanon;rol
Rombo;rof
Romkun;rmk
Ron;cla
Ronga;rng
Rongmei Naga;nbu
Roon;rnn
Roria;rga
Roro;rro
Rotokas;roo
Rotuman;rtm
Roviana;rug
Ruching Palaung;pce
Rudbari;rdb
Rukai;dru
Rukiga;cgg
Rumai Palaung;rbb
Rungus;drg
